Lesson ID (hardcoded),Lesson # (1-6),Date Finalized,Revised by,Ready to publish to webpage,Link to folder with updated lesson plan and materials,Notes,Lesson Title,Grade,CT Concept,Subject,Original Author,Original Folder Link,Peer Review,Comments,Has Spanish,Link to English Plan,Link to Spanish Plan
243,3,11/22/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1kQsbr1F49RZVJKf8h_T9tgUDyttQtBQB,,Story Abstraction,3,Abstraction,ELD,Dylana Garfas-Knowles,https://docs.google.com/document/d/18bQmVcC5VvrkLw6H6PSI4MuFCX37TC7otI82fDriRx4/edit?tab=t.0,,,,,,
244,4,11/23/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1Jv5JORJpG-qYsSSiYa6kZci3K7MNnT8Q,,Abstract Questioning Strategies,3,Abstraction,ELD,Dylana Garfas-Knowles,https://drive.google.com/drive/folders/1cDv4o4nDi_NjvXAKvbxwLedIIH1apgfH,,,,,,
245,5,11/24/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1ISuSDCE-abGmNTNxOAHWXt1zNu8x7sfV,,Heart Art- Decomposition,3,Decomposition,ELD,Dylana Garfas-Knowles,https://docs.google.com/document/d/1k2dtmgBrYoTgY2I_5nANp-JTT3g5FTh5BSum9sq-HFQ/edit?tab=t.0,,,,,,
246,6,11/25/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1JKSAt1j2o-SPyKPyOLb6n4UKFTmOdcQY,,Heart Art Part II- Algorithms,3,Algorithms,"ELD, ELA",Dylana Garfas-Knowles,https://drive.google.com/drive/folders/1oPc14zfJCJD4EEojOm7MYDmdjhtv6Qsz,,,,,,
285,1,9/9/25,Dylana Garfas-Knowles,TRUE,https://drive.google.com/drive/folders/1gQeUAUge0YSAU_xzxl0AmRN6OBlsM7Nm,,Patterns in Cinderella,3,Pattern Recognition,ELA,Kelly Martin,https://drive.google.com/drive/folders/1fXTavQZwVa1esEilYZwvmLOOF5V1l8Az?usp=drive_link,,,,,,
286,2,11/17/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1_qr0npjUshQnS-dCMEkX7LbW9VfQDS-R,,Abstraction of Cinderella,3,Abstraction,ELA,Kelly Martin,https://drive.google.com/drive/folders/1HLPPLVJhzZmwmBKYNimwJkFeaNOZoUhx?usp=drive_link,,,,,,
287,3,11/18/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/16nMXFZ6VCI87xYTPL2DL9gRA4x5YibzY,,Decomposition of Cinderella,3,Decomposition,ELA,Kelly Martin,https://drive.google.com/drive/folders/1jeOeK1WuxBY7tet0WSWWKU-w7cVHeEwg?usp=drive_link,,,,,,
288,4,11/19/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1ugGNvfSDC6_uyMu1ohRnsxErdKLumAhv,,Algorithm of Cinderella,3,Algorithms,ELA,Kelly Martin,https://drive.google.com/drive/folders/1Hz_SVxx-ZEWKtpnVA5vcSYO8VCV3p6mI?usp=drive_link,,,,,,
289,5,11/5/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1cDdvMj6qbormz5MrEV2pBH5R87uZ9VMQ,,Decomposing Myself in My Classroom,3,Decomposition,SEL,Kelly Martin,https://drive.google.com/drive/folders/1U1fmcgZxA2OFtJZUFVVrTrDht9moSct8?usp=drive_link,,,,,,
290,6,11/20/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1nuJZVcjfOIP6P3le9Zil-SLg3ydNLD_J,,An Algorithm for Writing,3,Algorithms,ELA,Kelly Martin,https://drive.google.com/drive/folders/11aKYDelznbDPyh2e1xe6g5UFYDpkx5XR?usp=drive_link,,,,,,
299,1,12/1/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/10VudU2cxFjyTKvveGTR79V_4JGx3B_L8,,Virtual Field Trip Itinerary,3,Decomposition,ELD,Lori Fuller,https://drive.google.com/drive/folders/1C8_TiaKnwoZEiiRC6uLZA9rEqVTbkaqK?usp=drive_link,,,,,,
300,2,12/3/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1Fe0rzcIMXMF-YxjcbF6A-I-tnvjyBUEf,,Virtual Field Trip Return,3,Algorithms,ELD,Lori Fuller,https://docs.google.com/document/d/1OJ0z02MyXfGAop1QW8GWjO_MHKhjy2Uz7VLW2UzBmc0/edit?tab=t.0,,,,,,
301,3,11/14/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1Jmcq9MWmSoKASXxjeNGd7jepRgOmPFzK,,Peter and the Wolf Character Description,3,Abstraction,ELD,Lori Fuller,https://drive.google.com/drive/u/0/folders/1Vc8MuhZCv-gmBcqBn0aItjdYO2B9GkPv,,,,,,
302,5,12/2/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1qRr4FaPrWMKfKvFodLIxp6HMgVstDvLw,,Taking Care of Yourself,3,Decomposition,ELD,Lori Fuller,https://docs.google.com/document/d/1oolOgDQrfJI367ASvhm-ZOzwpvX8ff-CYOqkhqI36ZI/edit?tab=t.0,,,,,,
303,6,,,FALSE,,skipped--not directly related to the CT concept,Problem Solving When Facing a Challenge,3,Pattern Recognition,ELD,Lori Fuller,https://docs.google.com/document/d/1ROFdKeSk7Zkfn7tSxAirHAjJBfX62L0imWRzpuHU2Q0/edit?tab=t.0,,,,,,
304,4,12/4/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/19CZ1tkQy1jpfIZbyxnwaOm_SKmTprclq,,Peter and the Wolf Instrumental Character Representation,3,Abstraction,ELA,Lori Fuller,https://drive.google.com/drive/folders/1Q7g5f-sLL7W23ycoofwcNC9lz4z6egDx?usp=drive_link,,,,,,
307,1,06/20/2025,Kelly Martin,FALSE,https://drive.google.com/drive/folders/1jk08fua2tZ6SLIzzQD4ftaDmN8271SZ5,,Animal Classification,3,Pattern Recognition,Science,Melanie Sprague,https://drive.google.com/drive/folders/1QeXiL4K-hj_J-p_U96iedoGa6R2m4vF4?usp=drive_link,,,,,,
308,2,11/7/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1dMmvmzd2okd002M138b4j9-jA88N6oef,,Animal Classification Lesson- 2,3,Abstraction,ELA,Melanie Sprague,https://docs.google.com/document/d/1ycKOFkuFp2hZBBfa0CvKB9WIPDAveXk5dmZPWY39YTQ/edit?tab=t.0,,,,,,
309,3,11/6/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1D5qc-SJkELdz_sn_pX4wi_CuMZl5lUT0,,Classroom Entry,3,Algorithms,SEL,Melanie Sprague,https://drive.google.com/drive/u/0/folders/1zoYlqFme6NF3VJYSe1xdRvAOKmK80LCc,,,,,,
310,4,10/19/2025,Kathleen Lemcke,TRUE,https://drive.google.com/drive/folders/1nr_gFof47uVNdJWevenr6j6lP7miyXiY,,Area of Irregular Shapes,3,Decomposition,Math,Melanie Sprague,https://drive.google.com/drive/folders/1Y7WnXD-KWVlsj_Uf_KlMrS_fU9-IMZoW?usp=drive_link,,,,,,
311,5,11/14/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1L32xbeaMShIHA_XxAndW1ClRZEt81LwL,,Catapults,3,Algorithms,ELA,Melanie Sprague,https://drive.google.com/drive/folders/19EiCHrlN2N8fb0FVz861Dy9FzsJk6oK1?usp=drive_link,,,,,,
312,6,,,FALSE,,Skipped-- unclear if this lesson meets a common core or social studies standard,Map Making,3,Abstraction,Social Studies,Melanie Sprague,https://drive.google.com/drive/folders/1JrljNYvnVwhwP6gKV9IHSIsHZ3oM0ruz?usp=drive_link,,,,,,
13,1,1/5/2026,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1Hw4CruTdugxv5nuH1k0fU224scWW7VyD,,Idioms and Abstraction,4,Abstraction,ELD,Dylana,folder,,,,,,
29,1,,,FALSE,,Skipped--CT and academic content unclear,Social Exchanges,"3, 4",Pattern Recognition,ELD,Lori F.,folder,,,,,,
47,2,,,FALSE,,Skipped--CT and academic content unclear,Chores,"3, 4",Algorithms,ELD,Lori F.,folder,,,,,,
65,3,1/9/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1cVezmhoFeVxXeTff1nwGy3YkIudWiAcu,,Constructing Simple Sentences,"3, 4",Algorithms,ELD,Lori F.,Folder,,,,,,
85,4,1/9/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1JWwf8oru16IYiZU2ahcAVQma62cjPOri,,Asking Questions,"3, 4",Algorithms,ELD,Lori F.,Folder,,,,,,
105,5,1/8/2026,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1RG2_oCQpPXSK0JD5em13evZTinpYFCby,,Decomposing a Paragraph,"3, 4",Decomposition ,ELD,Lori F.,folder,,,,,,
125,6,1/7/2026,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1Kc3UUjVUk27IvWD-pBY5Sf1hbiNmLZdp,,Writing a Summary,"3, 4",Abstraction,"ELD, ELA",Lori F.,folder,,,,,,
7,1,,,FALSE,,,Decomposition of Math Expressions,4,Decomposition,Math ,Trish,folder,,,,,,
8,2,,,FALSE,,lesson plan is empty,Abstraction information from a Text,4,Abstraction,ELA,Trish,folder,,,,,,
9,3,,,FALSE,,,Newspaper Decomposition,4,Decomposition,ELA,Trish,folder,,,,,,
10,4,7/20/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1Vxee6edyJABTf0wtXbc_pRcsoQyoB5IM,,Pattern Recognition in Metric Measurement,4,Pattern Recognition,Math,Trish,folder,,,,,,
11,5,7/15/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1kA9W0e4tE_cZUB4M55nS6iKlxRg_y3mH,,Rewriting Lewis's Speech,4,Abstraction,Social Studies,Trish,folder,,,,,,
12,6,,,FALSE,,lesson plan is empty,Using an algorithm to understand word problems,4,Algorithms,Math,Trish,folder,,,,,,
18,6,1/20/2026,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1Jo_ENlsZqmWnthfTzyFgye-dA9U-JJ7l,,Mulitisyllabic Word Decompostion,4,Decomposition ,ELD,Dylana,folder,,,,,,
36,1,,,FALSE,,,Introducing Algorithms using procedural writing.,4,Algorithms,ELA,Cory C,folder,,,,,,
40,1,,,FALSE,,,Intro to Pattern Recognition,4,Pattern Recognition,"Math, SEL",Estrella M.,folder,,,,,,
41,1,,,FALSE,,,Abstraction and Metaphor Monday,4,Abstraction,"SEL, ELA",Kathleen L.,folder,,,,,,
57,2,,,FALSE,,,Abstract Narrative Writing,4,Abstraction,ELA,Estrella M.,folder,,,,,,
58,2,,,FALSE,,,Decomposicion en las matematicas,4,Decomposition,Math,Kathleen L.,folder,,,Yes,,,
59,2,7/18/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1ompkc-dPmJmY9e-eWfqitDxjkwkH23xQ,,Using Abstraction to Summarize Text,4,Abstraction,ELA,Cory C,folder,,,,,,
77,3,,,FALSE,,,Patrones en problemas de palabras,4,Pattern Recognition,Math,Estrella M.,folder,,,Yes,,,
78,3,,,FALSE,,,What is the Rule?,4,Pattern Recognition,Math,Kathleen L.,folder,,,Yes,,,
79,3,7/19/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1wXrm4Wn26vCFFXyW1oQfEw_7uM9rZ5tw,,Tesselations in Art and Math,4,Pattern Recognition,"Math, Other",Cory C,folder,,,,,,
97,4,7/21/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1fFF6j2tW6zbKBKp_4B0ljWNyotwX_72g,,El ciclo de las rocas,4,Algorithms,ELA,Estrella M.,folder,,,Yes,,,
98,4,1/14/2026,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1z2z1COBRggBmg8gXIL0qK3DQkMZBJmZZ,,Literary Device Poetry Patterns,4,Pattern Recognition,ELA,Kathleen L.,folder,,,Yes,,,
99,4,1/19/2026,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1jgeHQEfrBkxn5heSeJbWFZ3Sxo4VA9zA,,Decomposition in Writing,4,Decomposition,ELA,Cory C,folder,,,,,,
117,5,,,FALSE,,,Patterns in Number Lines,4,Pattern Recognition,Math,Estrella M.,folder,,,Yes,,,
118,5,,,FALSE,,,Using algorithms to prepare a meal,4,Algorithms,ELA Cooking,Kathleen L.,folder,,,Yes,,,
119,5,6/28/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1Z5iPCEWZ9iHHjU7oP08Wn_Pxb0u9Z9dY,,Algorithms in Exercise,4,Algorithms,PE,Cory C,folder,,,,,,
137,6,,,FALSE,,,Convertir litros a mililitros,4,Pattern Recognition,Math,Estrella M.,folder,,,Yes,,,
138,6,1/13/2026,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1oYBER39lxZECc-b8IQHep2FqmqUr_oAc,,Using algorithms in scientific modeling,4,Algorithms,Science,Kathleen L.,folder,,,Yes,,,
139,6,7/14/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1_qw9WmDmRjpn0oSCJVdrqXB8jtDuNVap,,Pattern Recognition in Math,4,Pattern Recognition,Math,Cory C,folder,,,,,,
214,1,06/24/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1cbDqLNEYtH2HUS0sUvwjEI3eGK71Vdig,,Equivalent Fraction Sort,4,Pattern Recognition,Math,Anne Collonge,https://drive.google.com/drive/u/0/folders/1-K4Km8GMMy90tM_8q4MReE-qf2gyAgcT,Finalized,,,,, 
215,2,7/12/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1R83QUEZ_ouIEa0Re96egLcaub_Xan33-,,How to Write a 5 paragraph Informational Essay,4,Algorithms,ELA,Anne Collonge,https://drive.google.com/drive/u/0/folders/1ME6Ks3QQ1oznkcPrh9AhrWKfeedUIpse,Finalized,,,,,
216,3,7/7/2025,Charlie Henry,FALSE,https://drive.google.com/drive/folders/18ZXjSRmEfwKUNQ9Q2rfBBuo6gU20aNXa,May be bumping into copyright with this one.,What is Family?,4,Decomposition,SEL,Anne Collonge,https://docs.google.com/document/d/1oB2yPzAFH3Btfa5ZGazbi-RuOWyw_I0wFqU1BMWmg9A/edit?tab=t.0,,,,,,
217,4,7/6/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1Y4WcjH2PJqdhkE35J0D6Tm7fzeQvnq08,,What tree diagram did the author use?,4,Abstraction,ELA,Anne Collonge,https://drive.google.com/drive/u/0/folders/1D4bvWlFsPO64olnj-Bbz3a47UD_TnRO9,Finalized,,,,,
218,5,7/17/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1fnCB7dgQeD2w7f3gNNm1uJz6w8N2Ny0H,,Organize the Essays,4,Pattern Recognition,ELA,Anne Collonge,https://drive.google.com/drive/u/0/folders/1ykR_Lef6yIbB_rT2S6THAa6bAGF58LCV,Finalized,,,,,
219,6,7/10/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1N0_cJowtmi0WvPFs8y_Rc8CAl88Ex495,,Coding with Ozobots,4,"Algorithms, Abstraction",Science,Anne Collonge,https://drive.google.com/drive/u/0/folders/1XIvJvag2yM-f4tCMyupdhWog9xaL6jMu,Finalized,,,,,
229,2,06/26/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1yLsxlf2aM95dLCemSKaD-OWGUBR_z6Bi,,Algorithms for Failure,4,Algorithms,SEL,Charlie Henry,https://drive.google.com/drive/u/0/folders/1OBbXdm17PIOZcfsuI6vHdbZEJcuJQACB,Finalized,,,,,
230,3,7/7/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1NiVpF_LBmkqJ8W6B0yHMd7SPN-qPSiR-,,Apostrophes,4,Pattern Recognition,ELA,Charlie Henry,https://drive.google.com/drive/u/0/folders/1gmt0UO-dJ_QHVyRQzMXRelsz9OZZsGZ7,Finalized,,,,,
231,4,06/23/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1hTF9aZveDC4pxHeBeoaCYE4d-HfQMy29,,Abstracting Time Immemorial,4,Abstraction,Social Studies,Charlie Henry,https://docs.google.com/document/d/1cQe6zOvg3quBJ8f7Hm8ptOt3Lu624KFJK7qeaquutt4/edit?tab=t.0,Finalized,,,,,
233,6,7/4/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/11qVdvsK8MnF41T7BKnWTZGh-mIgdN_GK,,Decomposing Your Communities,4,Decomposition,SEL,Charlie Henry,https://drive.google.com/drive/u/0/folders/1g9_ta8HtlLamH0lPFK-T50o9nfvoXroU,Finalized,,,,,
236,1,01/18/2026,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1AvFOYARrSEHbWWxVv9ChdzB8pWXlDGAN,,Pattern Recognition in Spelling Conventions,4,Pattern Recognition,ELA,Cory Carnes,https://drive.google.com/drive/u/0/folders/1JGzEDdMQebQqK8f3Hs191X-KM3jWZzzs,,,,,,
237,2,07/12/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1iLowVye8SQDNZ5T4tOlf3KxcLwR38sYw,,Decomposition in Essay Writing,4,Decomposition,ELA,Cory Carnes,https://drive.google.com/drive/u/0/folders/1q8AKOC1phz_okB0s8ZY6raeg2o2y-f6f,Finalized,,,,,
238,3,7/13/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/10yGyd-JISt-wcgagrPBuSaQjUNorv3TP,,Abstracting Characters in Art,4,Abstraction,Other,Cory Carnes,https://drive.google.com/drive/u/0/folders/1b6USXxRceWwy821Dyx6T_M72vqbP5jF1,Finalized,,,,,
247,1,,,FALSE,,skipped--missing core concept integration,Defining CT concepts,4,"Decomposition, Pattern Recognition, Algorithms, Abstraction",ELA,Estrella Medrano,https://drive.google.com/drive/u/0/folders/1DRiFuBXnX6ct6SyF2z53W2cRS8vBtboL,,,,,,
248,2,06/25/2024,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1qcyneHR88vBdCJQ45J37wPRuWJjFUGJp,,Native American Tribes--Oregon,4,Decomposition,Social Studies,Estrella Medrano,https://drive.google.com/drive/u/0/folders/1Uq2NDi6q_dpHw2h_3nV6AljOXcokqXYo,Finalized,,,,,
249,3,06/13/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1ttVoZCzuB1HvzJOfrQ-VrfJi2BCCrLX8,,Algorithm for similes and metaphors,4,Algorithms,ELA,Estrella Medrano,https://docs.google.com/document/d/1XScBVL9PDLt-YEyKtQzwbuLr6-NmMxG3DEchE5J4pcU/edit?tab=t.0,Finalized,,,,,
250,4,7/7/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1FSdGqCGi679EPleOdZ_8XeiV8A-H8XTc,,Perimeter and Area,4,Pattern Recognition,Math,Estrella Medrano,https://drive.google.com/drive/folders/1HgMqCQ4SIb9K1kEtmAtJgeJykZwoZTbL?usp=drive_link ,Finalized,,,,,
333,5,7/17/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1u5UK368RktdFsN1wqcBhsgCUnXsn_AkO,,Comparing Fractions,4,Pattern Recognition,Math,Estrella Medrano,https://docs.google.com/document/d/1noLP3W2gMOxyFBHRQIzUQhvghXuIR4Vo79KCipaJHo4/edit?usp=drive_link,Finalized,,,,,
334,6,7/3/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1QpEOcFbad4wrcF2gpUIv4v1m0dqfFpEy,"This was kind of an epic to finalize—if someone else wants to look over it, I'm all about that!",Identifying 2D shapes,4,Decomposition,Math,Estrella Medrano,https://docs.google.com/document/d/1dnyj241QicBycb32wtBq7wCS9mFdOwpamz3q1FJC3iI/edit?usp=sharing,Finalized,,,,,
343,4,7/9/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1RnG2x16hN19k1MCi_WzyFV9nMOQX7fg2,,Algorithms and Transitional Words,4,Algorithms,ELA,Cory Carnes,https://docs.google.com/document/d/1yPpF37zOgbIYr38GKRs2nT6vSnQQAO_aY_MHGstqbgo/edit?usp=drive_link,Finalized,,,,,
344,5,7/13/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/15uYKl66aIj6qmh-9WSdad_nSLgxeB4SK,,Marshmallow and Toothpick Constructions,4,Algorithms,ELA,Cory Carnes,https://docs.google.com/document/d/1b9cvSqpDq9M40TocMNvTHCZTtSdXJdnIMUqtKUb773A/edit?usp=drive_link,Finalized,,,,,
345,6,7/6/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1YItXd-IrQWjLsyAnh_rls5LkM1cYsEwH,,Abstraction in Literature: Summary Writing,4,Abstraction,ELA,Cory Carnes,https://docs.google.com/document/d/1hDf_0b9s9Oz0afxNUI6p_EoixDwFeYLatmfdsbUJVI8/edit?usp=drive_link,Finalized,,,,,
38,1,10/31/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/16QiHmbeG81QZfl8c7jyHejZfPUcRmR7s,,Abstracting Identity,"4, 5",Abstraction,SEL,Anne C,folder,,,,,,
39,1,7/12/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1G0N52WyuBAICQF49Tz5js7XMmVrcNgJR,,Decomposing Identity,"4, 5",Decomposition,SEL,Charlie H.,folder,,,,,,
76,3,7/15/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1GraAu807ahk_ozBKhvmMMdRB_Q-o3bk5,,Juggling CT,"4, 5",Pattern Recognition,PE,Charlie H.,folder,,,,,,
96,4,6/30/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1Fx3HRSwns6-Vz8f3-xL9V4t5L_BIJJUf,,Editing and Revising,"4, 5",Algorithms,ELA,Charlie H.,folder,,,,,,
136,6,7/19/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1s68_P7-zEhC3EyVimD6fO4BP7V4vp03k,,Decomposing Opinion Writing,"4, 5","Abstraction, Decomposition, Pattern Recognition",ELA,Charlie H.,folder,,,,,,
232,5,6/29/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1wI1eL5BE_I9t4bwGcnCo96XcjT6HW9wO,,Peer Feedback Algorithms,"4, 5",Algorithms,ELA,Charlie Henry,https://drive.google.com/drive/u/0/folders/19DoKolG90RhvjLDUQI5wT_Y9be386DUk,Finalized,,,,,
37,1,10/19/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1cmbG1Bv71_uBwSLK0gRtm4_K4Jnnagvv,,Decomposing a Minecraft Creeper,5,Decomposition,Math,Max S.,folder,,,,,,
54,2,1/19/2026,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1Nwu2Z4_8_GW-c1KLm6PWeVOKCDERW8Zf,,Bird Names Pattern Recognition,5,Pattern Recognition,ELA,Max S.,folder,,,,,,
55,2,7/1/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1PhQMTrFxY9sYqvJO549-ltAahqDXsFrs,,What Happens When you Multiply a Whole Number by a Fraction?,5,Pattern Recognition,Math,Anne C,folder,,,,,,
56,2,7/13/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/18rX5f5HA9HMaBTiErVaC1JDD7EcVA9d9,,Coordinate Algorithms,5,Algorithms,Social Studies,Charlie H.,folder,,,,,,
74,3,7/28/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1rV0IN4FacORWor0cOa6HEpw9Hlfby1Yl,,Captain Jack Abstraction,5,Abstraction,Social Studies,Max S.,folder,,,,,,
75,3,7/23/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1k_7BiZ92ZBNdpgswkDZZlDD6T09qqR0k,,Emotional Regulation Plan,5,Algorithms,SEL,Anne C,folder,,,,,,
94,4,10/21/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1dksjZBmKdmjzBfQsDx7hc7taRCWptJTM,,Patterns in Stories,5,Pattern Recognition,ELA,Max S.,https://drive.google.com/drive/folders/1XUdmawpJv4DisDN2jdKq9IF9qbkQs50x,,,,,,
95,4,,,FALSE,,,Decomposing an Essay,5,Decomposition,ELA,Anne C,folder,,,,,,
114,5,10/28/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1SY2xysip8lRp4xBiY1Tv54rBxHQSo_uF,,Hero's Journey,5,Pattern Recognition,ELA,Max S.,folder,,,,,,
115,5,,,FALSE,,,Write a Letter from Your Name with a Robot,5,Algorithms,Science,Anne C,folder,,,,,,
116,5,7/18/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1ieRNmG4jRuCTxDzNNjnhd2mQkGJlWXgW,,Abstracting Conflict,5,Abstraction,ELA,Charlie H.,folder,,,,,,
