Lesson ID (hardcoded),Lesson # (1-6),Date Finalized,Revised by,Ready to publish to webpage,Link to folder with updated lesson plan and materials,Notes,Lesson Title,Grade,CT Concept,Subject,Original Author,Original Folder Link,Peer Review,Comments,Has Spanish,Link to English Plan,Link to Spanish Plan
134,6,11/2/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1cB2FA37F2GRuoVHHP4fNixV87vpJVvc9,,Patterns in Poetry,5,Pattern Recognition,ELA,Max S.,folder,,,,,,
135,6,,,FALSE,,,Guardians of the Galaxy Game,5,Algorithms,"PE, Math",Anne C,folder,,,,,,
200,1,07/31/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/14DVs3l3twBFd43iud8Qfd8RHGRlzYN4e,,Sloth Paraphrasing,5,Abstraction,ELA,Amy Hartley,https://drive.google.com/drive/folders/1vpqclwGsQ-NzKch4uMm4UZuV_k93eNBQ?usp=drive_link,Finalized,,,,,
201,2,07/30/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/17Xr1qZxEYfIKiDlLO5MkeuLD8BRvJnop,,Comparing and Rounding Decimals,5,Algorithms,Math,Amy Hartley,https://docs.google.com/document/d/1d4r6D-inHvR-hArXDAR0P5ORN3xd-g_xsLuvy2mDreI/edit?usp=sharing,Finalized,,,,,
202,3,07/28/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1db_dJV6_sXwYrDjWP_n-TCVKEU10B4G6,,Recognizing patterns within a conflict to find a peaceful resolution,5,Pattern Recognition,SEL,Amy Hartley,https://docs.google.com/document/d/1jMuLo37baq2fdJf0umcZ8FhZM2JlTzuuDA1AdfdSSQQ/edit?usp=sharing,Finalized,,,,,
203,4,,,FALSE,,Skipped--unsure how content-rigorous this one is,Decomposing the steps to make the farthest flying airplane,5,Decomposition,Science,Amy Hartley,https://drive.google.com/drive/folders/1fAlmT7evTJUkjPa_ey47mL_wQI6bZhJd,,,,,,
204,5,,,FALSE,,"Skipped--rigor, CT concept unclear",Decomposing an image of pattern blocks,5,Decomposition,Math,Amy Hartley,https://drive.google.com/drive/u/0/folders/10xbKV83URNdjvdoaZTD7wbEcy-O9U5CZ,,,,,,
205,6,12/6/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1C3JwKvWvxRqFSuTrVmqHb2la-D_PcrTm,,Algorithms With Lego Bricks,5,Algorithms,ELA,Amy Hartley,https://drive.google.com/drive/u/0/folders/1z_Gl88VdRuZ3u5kwyUOfUpRhvUTCqdDJ,,,,,,
228,1,7/11/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/137qC9cggfmemy9ar4o6z1STNeq-8EWWE,,Patterns in Poetry,5,Pattern Recognition,ELA,Charlie Henry,https://drive.google.com/drive/u/0/folders/1zo5LL7IXIyF2AG6e7y0YrDmcPusKPtdY,Finalized,,,,,
305,1,,,FALSE,,Skipped--incomplete lesson plan,Patterns in Science,5,Pattern Recognition,Science,Max Schmeling,https://drive.google.com/drive/u/0/folders/1ZE-3RQF7352ptVetlrEEsncHfM_MRW3D,,,,,,
306,2,,,FALSE,,Skipped--incomplete lesson plan,Salmon development Algorithm,5,Algorithms,Science,Max Schmeling,https://docs.google.com/document/d/1U7d2xN-4aklwNT9zC0mpI3ubJBcOog0cRWkBbRfKVkA/edit?usp=sharing,,,,,,
327,1,9/17/2025,Charlie Henry,TRUE,FINALIZED Dorr_Y3L1_Math_Abs_LessonPlan,,Abstraction in Rectangular Prisms,5,Abstraction,Math,Trish Dorr,https://drive.google.com/drive/u/0/folders/1N3NyRNGKdx4-tiufg0qT4b6SoUEtD5hY,,,,,,
328,2,12/8/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1g15TS2mpS4rqgM34XjUEBsUvxSFvq32h,,Abstraction in Fraction Representation,5,Abstraction,Math,Trish Dorr,https://drive.google.com/drive/u/1/folders/1SOcNXh2hZfax5q8j6DyBDGGyvAIy_PKb,,,,,,
329,3,07/24/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1-u_AYT0ZzNSMFgMAP19hfBRKtUoZjbpG,,Decomposing the Elements of a River,5,Decomposition,Science,Trish Dorr,https://drive.google.com/drive/u/0/folders/1vZpI6dkD4Wu2erx1hhuf-m9UYmZEz_Xe,Finalized,,,,,
330,4,07/25/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1pUic1Z5NcM9KSJ3a4S-lUtH8TreGO551,,Algorithms for Adding Decimals,5,Algorithms,Math,Trish Dorr,https://drive.google.com/drive/u/0/folders/1Veb3njpQ7lSemTnntkjMJs-h8lTHrTGW,Finalized,,,,,
331,5,10/11/2025,Charlie Henry,TRUE,FINALIZED Dorr_Y3L5_PR_Sci_LessonPlan,,Recognizing Patterns in Predator/Prey Population Cycles,5,Pattern Recognition,Science,Trish Dorr,https://drive.google.com/drive/u/0/folders/1etvZZU7YGaVHQcHR1SxVNn-tjUnAlCiQ,,,,,,
332,6,10/7/2025,Charlie Henry,TRUE,FINALIZED Dorr_Y3L6_SEL_Alg_LessonPlan,,Building Connections while Building with Legos,5,Algorithms,SEL,Trish Dorr,https://drive.google.com/drive/u/0/folders/1sazdl49bK2lDj5U4V6jnGsIVWa5w9Odh,,,,,,
24,1,08/23/2025,Shannon Wellsteed,FALSE,,Lesson repeated in 2024/25 by peer,The Hungry Caterpillar,K,Pattern Recognition,"ELA, Other",Beth L.,folder,,,,,,
25,1,08/23/2025,Shannon Wellsteed,FALSE,,Lesson repeated in 2024/25 by peer,Pumpkin Life Cycle Pattern Books,K,Pattern Recognition,ELA,Lauren M.,folder,,,,,,
26,1,08/23/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1F8egqnDDM91qkf1V2WaIxMFdDW07XaRc?usp=drive_link,,Number Abstraction,K,Abstraction,Math,Jeni H.,folder,,,,,,
42,2,08/21/2025,Shannon Wellsteed,FALSE,,Copyright of little books and change of types of pattern through whole lesson may confuse kindergarten,Pattern Recognition/Walk and Sight Word Pattern Book,K,Pattern Recognition,ELA,Beth L.,folder,,,,,,
43,2,08/21/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1EEIMFTvabXAI4S2s_BLDDs-FPSGfOCme?usp=drive_link,Does not meet all points of checklist but is more focused on finding patterns rather than creating patterns. Great lesson for an introduction,I Can Notice Patterns,K,Pattern Recognition,ELA,Lauren M.,folder,,,,,,
44,2,08/21/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1OFDVOMqHA0gIbsbvgM6QI1VvIq3HNUJP?usp=drive_link,,Compound Word Game,K,Decomposition,ELA,Jeni H.,folder,,,,,,
60,3,08/21/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1EEcH1heNmEw2QpUlBWUE5qt1huURm3j1?usp=drive_link,,Decomposing CVC words,K,Decomposition,ELA,Beth L.,Folder,,,,,,
61,3,08/20/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1wTKaEqAquFU-Cfu2vPvPXU9Y0Dckvyv6?usp=drive_link,,I can Sound Out a Word,K,Decomposition,ELA,Lauren M.,Folder,,,,,,
62,3,08/20/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1cF_somHFSbjAVcG_6l7Po78Ex_gKZhIn?usp=drive_link,,Pattern Recognition of Old Mac Donald had a farm,K,Pattern Recognition,ELA,Jeni H.,Folder,,,,,,
66,3,,,FALSE,,,What makes a shape,K,Decomposition,Math,Shannon,,,,,,,
80,4,08/19/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1CPH_vKnx5QUnPQXSw2_x4ZcgYCPAvkzt?usp=drive_link,,Algorithm Skits and Comic Strips,K,Algorithms,"ELA, Other",Beth L.,Folder,,,,,,
81,4,08/19/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1O9kJ5qXliMDeUivJjNJ_YSyRsv9weoYV?usp=drive_link,,I can Decompose Numbers,K,Decomposition,Math,Lauren M.,Folder,,,,,,
82,4,08/19/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1BC6c74PP5QH7iOlKpMXTU7SUV_mZ1oNm?usp=drive_link,,Cluck Cluck Chicken Life Cycle,K,Algorithms,"ELA, Science",Jeni H.,Folder,,,,,,
86,4,,,FALSE,,,Hand washing,K,Algorithms,ELA,Shannon,,,,,,,
100,5,08/17/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1HZ3F6B_U56Ta96M8nEuUhg8BWLIJ8zno?usp=drive_link,,How to Solve a Story Problem,K,Algorithms,Math,Beth L.,Folder,,,,,,
101,5,08/16/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1D_sfzt6djOScXTFidr-HKZPswbif0OUK?usp=drive_link,,I Can Write a How To Book,K,Algorithms,ELA,Lauren M.,folder,,,,,,
102,5,08/16/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1uz5rzeJbLVnKOiTDqbjCHDmxq1oqXYRR?usp=drive_link,,Abstraction Flower Math,K,Abstraction,Math,Jeni H.,Folder,,,,,,
106,5,,,FALSE,,,PE Patterns,K,Pattern Recognition,PE,Shannon,,,,,,,
120,6,08/16/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1PsCZW0lgAk9eh0l2IiGJzGIQNP9fqUCo?usp=drive_link,,Nonfiction Animal Books,K,Abstraction,"ELA, Science",Beth L.,folder,,,,,,
121,6,08/16/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1GjxQ7wq1yxl8PY9W9urdcxIPHOLSDD9L?usp=drive_link,,Abstractions About Me Book,K,Abstraction,"ELA, Other",Lauren M.,folder,,,,,,
122,6,,,FALSE,,Folder is empty,Bucket Filling,K,Abstraction ,SEL,Jeni H.,folder,,,,,,
126,6,,,FALSE,,,Flowers Around School,K,Algorithms,ELA,Shannon,,,,,,,
206,4,07/15/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/11i7LPJVINmxSw12XuuMGdZMTpkOuFKzY?usp=drive_link,,What are living and nonliving things?,K,Algorithms,Science,Amy Hartley- adapted by Amy Calavan,https://docs.google.com/document/d/1C7z7fGJ3YJWb8F_SqZBU5KW3NoS5IKgyI8fWP5wStwE/edit?usp=sharing,Finalized,,,,,
213,6,07/07/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1EHO6eEHu5IqXEXL4p7O4Vo69AY7NWiAw?usp=drive_link,,Park Features,K,Decomposition,ELA,Amy Kneeland,https://drive.google.com/drive/folders/1SDtgjU5xpPnnUpxg6HnWM2FcvoPuYEN6?usp=drive_link,Finalized,SOME lessons like this one were adopted from others and may be nice to list as a K-2 lesson rather than K version and 2 version (maybe from last year),,,,
220,1,07/03/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1MGkOhAwF9ZoNKHaw3RQk7GVpjhGqhKuQ?usp=drive_link,,Creating Calendar Patterns,K,Pattern Recognition,Math,Beth Lawrence,https://drive.google.com/drive/folders/1S76h5tFw7wuSGMnpHvwiahmjFVX5Venb,Finalized,,,,,
221,2,07/09/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/15Ccdep4JmdEnD1kfAY7j_Lnoo8cbpAHX?usp=drive_link,,Looking for Patterns in Books,K,Pattern Recognition,ELA,Beth Lawrence,https://drive.google.com/drive/folders/1V1N4a9pPSON29gSoBxWrCvTywdg-2LNW,Finalized,,,,,
222,3,07/09/2025,Shannon Wellsteed,FALSE,https://drive.google.com/drive/folders/1sdqBBiV_t3SIrq2VNp7G9Ju6il70NFGO?usp=drive_link,This is a great lesson but I need help making it fit into the checklist,The Pattern of Growth Mindset,K,Pattern Recognition,SEL,Beth Lawrence,https://docs.google.com/document/d/1ZDMXeY_mq4HpdxU9C96Q3n4ZdtDrvW6r8d1C1glpTY0/edit?tab=t.0,,,,,,
223,4,10/26/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1V3G6wqD1w2XE0-KDNtsAUDknRQ_dWOG3?usp=drive_link,Slides are now updated 10/26/25,Decomposing Fact Families,K,Decomposition,Math,Beth Lawrence,https://docs.google.com/document/d/1Tv7pUCxtlcHL47fffZW38xhOkSo5TlFAMplH28j7Nu0/edit?tab=t.0,,,,,,
224,5,10/26/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1ObZRoghEO-mTU1DjViG3TqmHMHR8JVXt?usp=sharing,Slides are now updated 10/26/25,Forces in our World,K,Abstraction,Science,Beth Lawrence,https://drive.google.com/drive/folders/1J_2p0CdjCRMqquRiQp90Yv502TLNIJ-G,,,,,,
225,6,07/09/2025,Shannon Wellsteed,FALSE,https://drive.google.com/drive/folders/1rx65hCkcC-OdrczT6UroAF5Dvk0pU7_3?usp=drive_link,Fun lesson but with 3 CT concepts I am unsure how to do the cheklist,What Makes a Car Move?,K,"Abstraction, Decomposition, Algorithms",Science,Beth Lawrence,https://docs.google.com/document/d/1nuLMg44n9922-HbUVcJ2L2ucL4wYMdYARdThY90w_Eo/edit?tab=t.0,,,,,,
226,2,07/15/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1VAxTUsrIOKz7XFbVVjCbNsrlXl667ixN?usp=drive_link,,The Hungry Caterpillar: Looking for Patterns,K,Pattern Recognition,ELA,Beth Lawrence (Revised by Amy Calavan),https://docs.google.com/document/d/1mcR9bEq1mQz70qxmyCo1rUPGGTX67HqLlneF6tOW73o/edit?usp=drive_link,Finalized,,,,,
227,3,07/15/2025,Shannon Wellsteed,FALSE,https://drive.google.com/drive/folders/1uBdXOmF4p7zq2nJYWRw6MmL12Thgk1tp?usp=drive_link,Very hard to follow- stopped working on,Abstracting Information from Text: What is the most important information?,K,Abstraction,ELA,Beth Lawrence (Revised by Amy Calavan),https://docs.google.com/document/d/1h0PBfHQPe-NQ97rXv23F_v9YYhra-T4sbgR8Kg_AB_A/edit?usp=drive_link,,,,,,
264,1,6/13/25,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1hF2_NlK6rj8Tq59OcM4TulfYo_F1iHn8?usp=drive_link,,How Do We Get to the Gym?,K,Algorithms,Math,Jeni Hawkins,https://drive.google.com/drive/folders/1vP-vuMbfSLB660PiAv6hDn22lTD5Vzcj,Finalized,,,,,
265,2,07/07/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1v8iTVurxF6F_a-eIEgG_ZItS5pkYnD0w?usp=drive_link,,Can I Identify the Pattern?,K,Pattern Recognition,Math,Jeni Hawkins,https://drive.google.com/drive/folders/1fo4ScA0mKQZh1QBHgwajzm20L1Q07FAr,Finalized,,,,,
266,3,07/09/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1Ytmx79jGY51ozl7_vZBN_BqEtqjc7rv1?usp=drive_link,,Algorithm: From Farm to Table,K,Algorithms,"ELA, Science",Jeni Hawkins,https://docs.google.com/document/d/1ytrbiyEGKx16_FhHuYHptaedP3CcGmIvV4_BgsQTDtg/edit?usp=sharing,Finalized,,,,,
267,4,07/10/2025,Shannon Wellsteed,FALSE,https://drive.google.com/drive/folders/1vMvcypNsJdgMqWHxm0ixd7Ytofyv9nA_?usp=drive_link,Copyright on book may make this lesson unable to publish,What Color is it?,K,Abstraction,ELA,Jeni Hawkins,Hawkins_Y3L4_ELA_ALG_LessonPlan,,,,,,
275,1,07/09/2025,Shannon Wellsteed,FALSE,,"There is No lesson plan here, looked in teacher folder as well",Using abstraction to create classroom agreements in Kindergarten,K,Abstraction,SEL,Kathleen Lemcke,https://drive.google.com/drive/folders/1bSUk4k2kCHs1AlcoRyrkbi_rlc7wl3lu,,,,,,
276,2,07/09/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1aJifzAfwoMRkurGDgRgSlf5QdnRru4dK?usp=drive_link,,The Most Important thing about Me: Abstracting ourselves,K,Abstraction,ELA,Kathleen Lemcke,https://docs.google.com/document/d/1gHC1oCAShLapAgoWxqwlqDzwSgv4gzeInBU8Vh0gpQ8/edit?usp=drive_link,Finalized,,,,,
277,3,07/07/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1FAgM_UUOQa4qRA7g-As2QwYNrwXv7QSC?usp=drive_link,Some vocabulary is spanish and english,Algorithm for planting seeds,K,Algorithms,Science,Kathleen Lemcke,https://docs.google.com/document/d/1pTakgWWjQerpSuRZ2R3cqNZVAnn9mgkZTJ6Ox0fKjwc/edit?tab=t.0,Finalized,"vocabulary is in English and Spanish, lesson is only in English.",Yes,,,
278,4,07/07/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1Qy_CbYlM2SZxYoSO9K_tbOnkFnBCVLIq?usp=drive_link,Some vocabulary is spanish and english,Algorithms for Counting Shapes,K,Algorithms,Math,Kathleen Lemcke,https://drive.google.com/drive/u/0/folders/1TXQjEebsPkwLaywN4SN8jpYMgtLSvuQx,Finalized,,Yes,,,
291,1,07/10/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1ANp9q_1f9pVpqzejwJqlUeXJGgxjymdI?usp=drive_link,,Patterns Introduction,K,Pattern Recognition,Other,Lauren McGowne,https://drive.google.com/drive/folders/1yXx4zidc4bCqp1nsQgwIgiD7XmIdXfiu,Finalized,,,,,
292,2,07/10/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1WJrpok8qk0ipcuHXUZG6-PIcVp9qihEf?usp=drive_link,,Patterns All Around - a lesson for after having taught patterns,K,Pattern Recognition,Science,Lauren McGowne,https://docs.google.com/document/d/1o1xriyix_55Jps71ZwI4W3ekQmn_kjcULiNWuc9IVOY/edit?tab=t.0,Finalized,,,,,
293,3,07/10/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1s2VIBPJn7KK9NL6xjNR0wVVaSnIhmGMU?usp=drive_link,Formatting on this one is fighting me. I can not get the Main Body label of the lesson to stay with the text. 8/14-Dylana fixed :),"What is an Algorithm, let's debug one",K,Algorithms,SEL,Lauren McGowne,https://docs.google.com/document/d/1U7ifFYzRSQuqHP9Xi_ca07ryne0TsJHokig5yI48TmU/edit?tab=t.0,Finalized,,,,,
294,4,07/10/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1N7_au9s6gnVjVYBUOO9cGxtklONwH5BZ?usp=drive_link,,I have a problem,K,Algorithms,SEL,Lauren McGowne,Y3 - Kindergarten - Algorithm- Lesson 3,Finalized,,,,,
295,5,07/04/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1HzNkGJ7TGbJ_Jjjlt8THaY66nXVVisfw?usp=drive_link,,Community Workers,K,Abstraction,Social Studies,Lauren McGowne,https://docs.google.com/document/d/14IHKCB_2UCfMNm2ua3HS7YQi8Tuo8Yaonn1XJk0qiZw/edit?tab=t.0,Finalized,,,,,
296,6,07/04/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1q8GyOj_rNv3xuU9QjCdYzAWE6LTb5Ayy?usp=drive_link,"Continuation of lesson dirrectly above ""Community Workers""",Community Map Abstractions,K,Abstraction,Social Studies,Lauren McGowne,https://drive.google.com/drive/u/0/folders/1gcIK4YVYlrztnu_zBjW8SckXAHSrij0P,Finalized,,,,,
297,1,07/14/2025,Shannon Wellsteed,FALSE,https://drive.google.com/drive/folders/1EVqA0TYbrmbT_3jslI_JbnApr1lnqiiz?usp=drive_link,Exact repeat of lesson done by Lauren McGowne- stopped working on,Patterns all around,K,Pattern Recognition,Science,Lauren McGowne adapted by Amy Calavan,https://drive.google.com/drive/folders/14Ed9UeCQNg4IxziH1ssbvhSgWJ6fuJBR?usp=drive_link,,,,,,
316,1,07/02/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1C_O3b4UW5Gqi3OvkVewvzSGJlY6biCCp?usp=drive_link,,Emoji Feeling Identification,K,Abstraction,SEL,Shannon Wellsteed,https://drive.google.com/drive/folders/1V7k0_7rzaGsNTY3vJhTfoy_vKRgE1ZGk?usp=drive_link,Finalized,,,,,
317,2,07/02/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/15u2RPTVC9r74z9rdQTRwbTMcYf50IrcW?usp=drive_link,,Abstract Summaries of a picture book,K,Abstraction,ELA,Shannon Wellsteed,https://drive.google.com/drive/folders/16P9cU4wq4RPxrWL98o4TiuYFkXDnS8qp?usp=drive_link,Finalized,,,,,
318,3,07/02/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1Gpb1F2j4nUhOurOe294iEoK1ZKeYpFL6?usp=drive_link,,Winter Patterns,K,Pattern Recognition,Science,Shannon Wellsteed,https://docs.google.com/document/d/15eeu25LlxgsMAVn_RkrROi-k56trJngAEkFFrMU4mws/edit?usp=drive_link,Finalized,,,,,
319,4,07/02/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1GsurGz8AOOXma7U9QZVZoVE5M8vI_rRx?usp=drive_link,,Movement patterns,K,Pattern Recognition,PE,Shannon Wellsteed,https://docs.google.com/document/d/1aLI0dGtch5Xe9gCllnvwVxZrVLI7fXukLKf5jqdXDo8/edit?usp=drive_link,Finalized,,,,,
320,5,07/02/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1U1ivZ1JNPsCE1C7Rs0fiAKo5Z_rYrWuF?usp=drive_link,,Decomposition of Music,K,Decomposition,Other,Shannon Wellsteed,https://docs.google.com/document/d/1soQmBC8AA8-vNxtNS7deSrichiP9KF_cyBm1YTF5ofk/edit?usp=share_link,Finalized,,,,,
321,6,07/03/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1cJb0uU-xFSYOLqpqiEn9Z-tjpGr3j9FD?usp=drive_link,,Imagination Playground clean up,K,Algorithms,SEL,Shannon Wellsteed,https://docs.google.com/document/d/12HbPEUHbRBTuR480lZ_hsqeDFWYjdbAxvxKILH995gA/edit?usp=sharing,Finalized,,,,,
337,5,07/08/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1daQJZ6VmUy2x3Q4XAyfoZRftqIgMU4q9?usp=drive_link,,How to Make a Pizza,K,Algorithms,Social Studies,Jeni Hawkins,Hawkins_Y3L5_Algorithm_SS_LessonPlan,Finalized,,,,,
338,6,07/08/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1tPDf7t08a-R5YhvIQ-SJZegUo1u0j269?usp=drive_link,,Breaking Down the Parts of a Pizza,K,Decomposition,"ELA, SEL",Jeni Hawkins,Hawkins_Y3L6_DECOMPOSTION_Social studies,Finalized,,,,,
339,5,07/08/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/15u4HOcV8HetlZFUj8nIKipEXY3rVKjvx?usp=drive_link,,Word Patterns and Rhyming,K,Pattern Recognition,ELA,Kathleen Lemcke,https://docs.google.com/document/d/1937AtJT_iQjSlK8llDtl6ntUBZsNTgp4eNVM92s_AeM/edit?tab=t.0,Finalized,,,,,
340,6,07/07/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1hFoAM9h7N8fRBy8FnhHe-OU2ic9jomLl?usp=drive_link,,Decomposing teen numbers,K,Decomposition,Math,Kathleen Lemcke,https://docs.google.com/document/d/1cmZHDEYBqL7lappGOq8L1Ax3uRSK3Y1OpZiMbtJU_9E/edit?tab=t.0,Finalized,,,,,
341,5,08/05/2025,Shannon Wellsteed,FALSE,https://drive.google.com/drive/folders/1OcQODICAgU3DkU9jiw5DEW-1D9YKyc1D?usp=drive_link,stopped working on because it will take a lot of changes to make it publishable ,Algorithm of a Craft,K,Algorithms,Other,Amy Calavan,https://docs.google.com/document/d/1LUJUqepRsxnbCWY9xFEoPuZEWUm29DJ4ZtKAZpGR7JU/edit?usp=sharing,,,,,,
342,6,08/23/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1nfOy4aZfPJcpZDg8-bUW4xp6f5-HZ_5X?usp=drive_link,,Decomposing Three-Dimensional Shapes,K,Decomposition,Math,Amy Calavan,https://docs.google.com/document/d/1Y49BQyD59FjgOBnAjMoCeR3mF0t-AS_QTpBXRu_sxvo/edit?usp=sharing,Finalized,,,,,